source_source,repo_source,source_dest,repo_dest
"GitHub","1aim/DELETE-THIS-mail-headers","GitHub","dac-gmbh/mail"
"GitHub","1aim/DELETE-THIS-mail-template","GitHub","dac-gmbh/mail"
"GitHub","ChainSafe/forest","GitHub","filecoin-project/ref-fvm"
"GitHub","ErikBuer/Fixed-Trigonometry","GitHub","norsk-datateknikk/Mixed-Num"
"GitHub","Fair-Exchange/Safecoin","GitHub","Fair-Exchange/safecoin-program-library"
"GitHub","FyroxEngine/Fyrox","GitHub","mrDIMAS/hrtf"
"GitHub","Internet2-WG/rust-internet2","GitHub","LNP-WG/lnp-core"
"GitHub","LNP-BP/descriptor-wallet","GitHub","LNP-BP/client_side_validation"
"GitHub","LNP-BP/rust-lnpbp","GitHub","LNP-BP/client_side_validation"
"GitHub","LNP-BP/rust-lnpbp","GitHub","LNP-WG/lnp-core"
"GitHub","LNP-BP/rust-lnpbp","GitHub","internet2-org/internet2"
"GitHub","LNP-BP/rust-lnpbp","GitHub","rust-bitcoin/descriptor-wallet"
"GitHub","LNP-WG/lnp-core","GitHub","rust-bitcoin/descriptor-wallet"
"GitHub","Logicalshift/flowbetween","GitHub","Logicalshift/flo_draw"
"GitHub","Ralith/hecs","GitHub","bevyengine/bevy"
"GitHub","RobertDurfee/LexerGenerator","GitHub","RobertDurfee/ParserGenerator"
"GitHub","RobertDurfee/LexerGenerator","GitHub","RobertDurfee/RegularExpression"
"GitHub","RobertDurfee/ParserGenerator","GitHub","RobertDurfee/LexerGenerator"
"GitHub","RobertDurfee/ParserGenerator","GitHub","RobertDurfee/RegularExpression"
"GitHub","RobertDurfee/RegularExpression","GitHub","RobertDurfee/LexerGenerator"
"GitHub","RobertDurfee/RegularExpression","GitHub","RobertDurfee/ParserGenerator"
"GitHub","RusPiRo/ruspiro-singleton","GitHub","RusPiRo/ruspiro-interrupt"
"GitHub","RustCrypto/block-ciphers","GitHub","RustCrypto/utils"
"GitHub","RustCrypto/traits","GitHub","RustCrypto/utils"
"GitHub","RustCrypto/utils","GitHub","RustCrypto/traits"
"GitHub","TianyiShi2001/nom-pdb","GitHub","TianyiShi2001/protein"
"GitHub","TianyiShi2001/protein","GitHub","TianyiShi2001/nom-pdb"
"GitHub","actix/actix","GitHub","actix/actix-net"
"GitHub","akkoro/assemblylift","GitHub","akkoro/assemblylift-iomod-registry"
"GitHub","alsuren/mijia-homie","GitHub","bluez-rs/bluez-async"
"GitHub","andrew-johnson-4/rdxl_static","GitHub","andrew-johnson-4/rdxl_static_macros"
"GitHub","arcnmx/nue","GitHub","arcnmx/pos-rs"
"GitHub","awslabs/smithy-rs","GitHub","awslabs/aws-sdk-rust"
"GitHub","bitshifter/glam-rs","GitHub","EmbarkStudios/rust-gpu"
"GitHub","bytecodealliance/wasmtime","GitHub","bytecodealliance/cap-std"
"GitHub","capnproto/capnproto-rust","GitHub","dwrensha/capnp-gj"
"GitHub","cehteh/testcall","GitHub","cehteh/testpath"
"GitHub","cmpute/num-irrational","GitHub","cmpute/suan"
"GitHub","dac-gmbh/mail","GitHub","1aim/DELETE-THIS-mail-headers"
"GitHub","dac-gmbh/mail","GitHub","1aim/DELETE-THIS-mail-template"
"GitHub","dac-gmbh/mail","GitHub","1aim/mail-core"
"GitHub","dankamongmen/notcurses-rs","GitHub","dankamongmen/notcurses"
"GitHub","denoland/deno","GitHub","gfx-rs/wgpu"
"GitHub","diem/diem","GitHub","solana-labs/libra"
"GitHub","dimforge/ncollide","GitHub","sebcrozet/kiss3d"
"GitHub","djc/askama","GitHub","actix/actix-web"
"GitHub","dopitz/vulkanism","GitHub","dopitz/nobs-vkmem"
"GitHub","dotenv-rs/dotenv","GitHub","purpliminal/rust-dotenv"
"GitHub","dprint/dprint","GitHub","dprint/dprint-plugin-json"
"GitHub","dprint/dprint","GitHub","dprint/dprint-plugin-typescript"
"GitHub","drone-os/drone-core","GitHub","drone-os/drone"
"GitHub","dtolnay/syn","GitHub","dtolnay/semver"
"GitHub","dylanmckay/plugger","GitHub","dylanmckay/plugger-core"
"GitHub","dylanmckay/plugger-core","GitHub","dylanmckay/plugger"
"GitHub","embedded-graphics/embedded-graphics","GitHub","embedded-graphics/tinybmp"
"GitHub","embedded-graphics/embedded-graphics","GitHub","embedded-graphics/tinytga"
"GitHub","eternal-twin/etwin","GitHub","eternalfest/eternalfest"
"GitHub","ethereum/evmc","GitHub","second-state/evmc"
"GitHub","fluencelabs/marine-rs-sdk","GitHub","fluencelabs/aquavm"
"GitHub","fortanix/rust-sgx","GitHub","fortanix/rust-mbedtls"
"GitHub","gz/rust-x86","GitHub","gz/rust-klogger"
"GitHub","haydnv/number-general","GitHub","haydnv/collate"
"GitHub","holochain/holochain-rust","GitHub","holochain/holochain"
"GitHub","holochain/holochain-rust","GitHub","holochain/sim2h"
"GitHub","infinyon/fluvio","GitHub","infinyon/fluvio-helm"
"GitHub","infinyon/fluvio","GitHub","infinyon/fluvio-socket"
"GitHub","infinyon/fluvio","GitHub","infinyon/flv-kf-protocol"
"GitHub","infinyon/fluvio","GitHub","infinyon/flv-tls-proxy"
"GitHub","infinyon/flv-kf-protocol","GitHub","infinyon/fluvio"
"GitHub","iotaledger/iota.rs","GitHub","iotaledger/crypto.rs"
"GitHub","ipfs-rust/ipfs-embed","GitHub","ipfs-rust/blake-streams"
"GitHub","iqlusioninc/crates","GitHub","informalsystems/tendermint-rs"
"GitHub","iqlusioninc/crates","GitHub","iqlusioninc/abscissa"
"GitHub","kiffie/pic32-pac","GitHub","kiffie/pic32-rs"
"GitHub","lemonrock/dpdk","GitHub","lemonrock/network"
"GitHub","libp2p/rust-libp2p","GitHub","fluencelabs/trust-graph"
"GitHub","libp2p/rust-libp2p","GitHub","tetcoin/tetsy-libp2p"
"GitHub","lights0123/ndless-rs","GitHub","lights0123/ndless-freetype"
"GitHub","lindera-morphology/lindera","GitHub","lindera-morphology/lindera-cc-cedict-builder"
"GitHub","lindera-morphology/lindera","GitHub","lindera-morphology/lindera-ko-dic-builder"
"GitHub","lindera-morphology/lindera","GitHub","lindera-morphology/lindera-unidic-builder"
"GitHub","linebender/skribo","GitHub","servo/pathfinder"
"GitHub","maidsafe/sn_routing","GitHub","maidsafe-archive/maidsafe_types"
"GitHub","maidsafe-archive/maidsafe_types","GitHub","maidsafe/sn_routing"
"GitHub","memflow/memflow","GitHub","memflow/memflow-win32"
"GitHub","mimblewimble/grin","GitHub","mimblewimble/grin-wallet"
"GitHub","nagisa/rust_rdrand","GitHub","rust-random/rand"
"GitHub","nash-io/openlimits","GitHub","nash-io/nash-rust"
"GitHub","notedge/notedown-rs","GitHub","oovm/ggplot-rs"
"GitHub","openethereum/parity-ethereum","GitHub","paritytech/parity-common"
"GitHub","openethereum/parity-ethereum","GitHub","paritytech/trie"
"GitHub","openfare/openfare","GitHub","openfare/openfare-js"
"GitHub","openfare/openfare","GitHub","openfare/openfare-rs"
"GitHub","oxidecomputer/cio","GitHub","oxidecomputer/third-party-api-clients"
"GitHub","pact-foundation/pact-reference","GitHub","pact-foundation/pact-plugins"
"GitHub","paritytech/parity-common","GitHub","paritytech/trie"
"GitHub","paritytech/substrate","GitHub","paritytech/frame-metadata"
"GitHub","paritytech/substrate","GitHub","paritytech/frontier"
"GitHub","pczarn/panini","GitHub","pczarn/panini-snapshot"
"GitHub","pczarn/panini-snapshot","GitHub","pczarn/panini"
"GitHub","project-serum/serum-dex","GitHub","project-serum/anchor"
"GitHub","purpliminal/rust-dotenv","GitHub","dotenv-rs/dotenv"
"GitHub","richardanaya/js-wasm","GitHub","richardanaya/js_ffi"
"GitHub","richardanaya/js-wasm","GitHub","richardanaya/webcomponent"
"GitHub","richardanaya/js_ffi","GitHub","richardanaya/js-wasm"
"GitHub","richardanaya/webcomponent","GitHub","richardanaya/js-wasm"
"GitHub","rise0chen/clock_source","GitHub","rise0chen/async_ach"
"GitHub","rodrimati1992/abi_stable_crates","GitHub","rodrimati1992/repr_offset_crates"
"GitHub","rust-bitcoin/descriptor-wallet","GitHub","LNP-WG/lnp-core"
"GitHub","rust-datetime/datetime","GitHub","rust-datetime/zoneinfo-compiled"
"GitHub","rust-embedded/cortex-m","GitHub","rust-embedded/cortex-m-semihosting"
"GitHub","rust-lang/regex","GitHub","BurntSushi/ucd-generate"
"GitHub","rust-random/rand","GitHub","rust-random/rngs"
"GitHub","rust-random/rngs","GitHub","paritytech/substrate"
"GitHub","rustwasm/wasm-bindgen","GitHub","rustwasm/console_error_panic_hook"
"GitHub","sahdjfg/rsap","GitHub","sahdjfg/mtk-rs"
"GitHub","seanmonstar/num_cpus","GitHub","hermitcore/rusty-hermit"
"GitHub","serde-deprecated/syntex","GitHub","kennytm/extprim"
"GitHub","serde-rs/serde","GitHub","dtolnay/syn"
"GitHub","serde-rs/serde","GitHub","rust-lang/rust-clippy"
"GitHub","servo/font-kit","GitHub","servo/pathfinder"
"GitHub","servo/pathfinder","GitHub","linebender/skribo"
"GitHub","servo/pathfinder","GitHub","servo/font-kit"
"GitHub","slog-rs/slog","GitHub","slog-rs/scope"
"GitHub","slog-rs/slog","GitHub","slog-rs/stdlog"
"GitHub","slog-rs/slog","GitHub","slog-rs/term"
"GitHub","smallnest/rpcx-rs","GitHub","smallnest/rpcx-derive"
"GitHub","solana-labs/libra","GitHub","diem/diem"
"GitHub","solana-labs/solana","GitHub","Fair-Exchange/Safecoin"
"GitHub","solana-labs/solana","GitHub","near/borsh-rs"
"GitHub","solana-labs/solana","GitHub","solana-labs/solana-program-library"
"GitHub","termoshtt/accel","GitHub","termoshtt/accel"
"GitHub","termoshtt/accel","Gitlab","termoshtt/accel"
"GitHub","tetcoin/tetsy-common","GitHub","tetcoin/trie"
"GitHub","tokio-rs/axum","GitHub","programatik29/axum-debug"
"GitHub","tokio-rs/prost","GitHub","danburkert/prost"
"GitHub","tokio-rs/tokio","GitHub","tokio-rs/tokio-core"
"GitHub","tokio-rs/tokio","GitHub","vorner/signal-hook"
"GitHub","tokio-rs/tokio-core","GitHub","tokio-rs/tokio"
"GitHub","tokio-rs/tracing","GitHub","open-telemetry/opentelemetry-rust"
"GitHub","vouch-dev/vouch","GitHub","vouch-dev/vouch-js"
"GitHub","vouch-dev/vouch","GitHub","vouch-dev/vouch-py"
"GitHub","whitequark/rust-xdg","GitHub","dirs-dev/dirs-rs"
"GitHub","zbraniecki/tinystr","GitHub","unicode-org/icu4x"
"GitHub","zpgaal/shine","GitHub","gzp/shine"
"GitHub","zshipko/ocaml-rs","GitHub","tezedge/ocaml-interop"
"Gitlab","BrightOpen/BackYard","GitHub","async-email/async-smtp"
"Gitlab","BrightOpen/Samotop","Gitlab","BrightOpen/BackYard"
"Gitlab","c410-f3r/mop","GitHub","c410-f3r/mop"
"Gitlab","jrobsonchase/keebrs","Gitlab","polymer-kb/firmware"
